"Timestamp","What is your program?","What is your gender?","What is your AGE as of your last birthday?","What is your HEIGHT (to the nearest centimetre)?","What is your WEIGHT (to the nearest kilogram)?","What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?","What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?","After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?","Do you LIVE WITH YOUR PARENTS? ","What are your MONTHLY EXPENSES for FOOD and LODGING?","What MODE of TRANSPORT do you use most often to get to and from BCIT?","What is your COST per MONTH for TRANSPORTATION to and from BCIT?","What is your COST per MONTH for ENTERTAINMENT?","Are you right-handed, Left-handed or ambidextrous?","What is your COST per MONTH for your CELL PHONE?","Do you SMOKE cigarettes? ","What is your foot size in INCHES?","How many alcoholic drinks do you have per week?","Do you have a tattoo?","On average, how many hours per night do you sleep?","How much time in hours do you spend each week on social netorking sites?","How many hours per week do you spend studying/doing homework?","How many hours a week are you working (part-time or full-time employment) outside of BCIT?","Have you traveled outside of North America?","Do you pay entirely for your own tuition?","How many cups of coffee do you drink on average each day?"
"2019/02/04 11:44:47 am GMT-8","HRMG","Female","24","165","58","0","3000","1. Large Corporation","Yes","1000","3. Drive","150","60","0. Right-handed","0","No","14","0","No","7","25","40","8","Yes","No","1"
"2019/02/04 11:46:15 am GMT-8","HRMG","Male","23","179","86","2500","3200","2. Small Company","Yes","400","3. Drive","340","250","0. Right-handed","60","No","10.25","5","No","7","2","24","8","No","Yes","3"
"2019/02/04 11:49:00 am GMT-8","HRMG","Female","22","158cm","53kg","$900","4000","4. Other","Yes","350","3. Drive","200","$100","0. Right-handed","0","No","9.25 inches","3","No","6 hours","14 hours","30 hours","6 hours","No","No","1 cup"
"2019/02/04 11:49:12 am GMT-8","HRMG","Female","25","150","50","3500","4000","1. Large Corporation","Yes","500","2. Public Transport","100","140","0. Right-handed","53.76","Yes","9","3","Yes","5","5","30","0","Yes","Yes","0"
"2019/02/04 2:31:07 pm GMT-8","HRMG","Male","25","178","75","$4,200.00","$4,000.00","1. Large Corporation","No","$1,000.00","1. Walk","$0","$200","0. Right-handed","$0","No","10","3","No","6","13","Not often","0","Yes","Yes","4"
"2019/02/04 2:38:05 pm GMT-8","HRMG","Female","30","165 cm","99 kg","$3000.00","$5000.00","2. Small Company","No","$800.00","3. Drive","$200.00","$200.00","0. Right-handed","$120.00","No","10.2 inches","2","Yes","6","15 hours","40 hours","12","Yes","Yes","2"
"2019/02/04 2:40:15 pm GMT-8","HRMG","Female","25","170","114","2,600","4,000","2. Small Company","No","$1,000","3. Drive","200","400","0. Right-handed","120","Yes","9","24","Yes","7.5","14 hour ","24","8-16","Yes","No","1"
"2019/02/04 2:41:51 pm GMT-8","HRMG","Male","32","176","170","0","3000","1. Large Corporation","Yes","800","2. Public Transport","0","10","0. Right-handed","60","No","11","1","No","5","3","5","14","Yes","No","2"
"2019/02/04 2:41:57 pm GMT-8","HRMG","Female","24","1.60cm ","108lbs ","2800","4000","1. Large Corporation","No","1800","2. Public Transport","40","100","0. Right-handed","70","No","6.5","0","No","6.5","12","25","3","Yes","No","1"
"2019/02/04 2:44:01 pm GMT-8","HRMG","Female","22","170.18","506","0","0","1. Large Corporation","Yes","$600","3. Drive","$200","$10","0. Right-handed","$30","No","9.875 in / 25 cm","1","Yes","6","10","8","0","No","No","5"
"2019/02/04 2:44:50 pm GMT-8","HRMG","Female","22","174","51","800","4000","1. Large Corporation","Yes","300","2. Public Transport","0","200","0. Right-handed","125","Yes","10","3","No","8","14","20","12","Yes","No","1"
"2019/02/04 2:45:51 pm GMT-8","HRMG","Female","23","163cm","49kg","1700","3000","3. Non-profit or Government Agency","Yes","200","3. Drive","120","100","0. Right-handed","65","No","9","0","Yes","6","2","10","4","Yes","No","1"
"2019/02/04 2:47:12 pm GMT-8","HRMG","Female","24","160","66","1600","3750","2. Small Company","Yes","400","3. Drive","440","100","0. Right-handed","100","No","9.5","0","Yes","6.5","3","12","0","Yes","No","2"
"2019/02/04 2:47:32 pm GMT-8","HRMG","Female","23","157","66","2000","3750","1. Large Corporation","Yes","400","4. Carpool","0","50","0. Right-handed","55","No","9.5","0","Yes","6.5","31.5","30","0","Yes","Yes","1"
"2019/02/04 2:49:25 pm GMT-8","HRMG","Male","29","170","81","2400","4000","2. Small Company","No","1000","2. Public Transport","40","100","0. Right-handed","95","No","10.56","4","No","7","1.5","40","10","Yes","Yes","1"
"2019/02/04 2:49:29 pm GMT-8","HRMG","Female","35","157","64","3900","4500","3. Non-profit or Government Agency","No","300","3. Drive","60","80","0. Right-handed","50","Yes","9","3","No","7","1","36","7","Yes","No","0"
"2019/02/04 2:58:02 pm GMT-8","HRMG","Male","26","170","155","$1,200","$40,000","2. Small Company","No","$900","1. Walk","0","$50","0. Right-handed","$68","No","7 inches","2","No","6","20 hours","24 hours","0","Yes","Yes","1"
"2019/02/05 6:58:22 pm GMT-8","BMGT","Female","21","1.68cm","58kg","0","$4000","1. Large Corporation","Yes","$2000","3. Drive","$800","$1000","1. Left-handed","$65","No","5?","none","No","8","40","8","8 hours","Yes","No","none"
"2019/02/05 7:11:28 pm GMT-8","BMGT","Female","24","161","52.1","0","4000","1. Large Corporation","No","1000","3. Drive","300","500","0. Right-handed","60","No","9.06","0","No","8","14","7","20","Yes","Yes","0"
"2019/02/05 7:22:05 pm GMT-8","BMGT","Prefer not to say","22","165","109","0","2500","1. Large Corporation","No","1000","2. Public Transport","0","30","0. Right-handed","50","Yes","9.25","0","Yes","9","20","30","0","Yes","No","3"
"2019/02/06 3:29:26 pm GMT-8","BMGT","Female","23","168cm","53kilograms","0","0","2. Small Company","No","$1000","2. Public Transport","$50","$300","0. Right-handed","80","No","7","0","No","8","20","8","0","Yes","No","0"
"2019/02/06 8:15:54 pm GMT-8","BMGT","Male","21","181","70","2100","6666","1. Large Corporation","No","2100","2. Public Transport","30","30","0. Right-handed","50","No","","1","No","8","2","40","20","Yes","No","1"
"2019/02/06 10:23:29 pm GMT-8","BMGT","Male","23","180","88","0","3000","2. Small Company","No","1500","2. Public Transport","0","200","1. Left-handed","70","No","10","0","Yes","7","40","25","0","No","Yes","0"
"2019/02/08 4:51:12 am GMT-8","BMGT","Female","35","160","50","3000","3000","3. Non-profit or Government Agency","No","1500","2. Public Transport","130","200","0. Right-handed","60","No","","","No","7","1","10","20","Yes","No","2"
"2019/02/08 8:17:24 am GMT-8","BMGT","Male","21","183","85","4400","6500","2. Small Company","Yes","500","3. Drive","500","500","0. Right-handed","120","No","12","10","Yes","7","1 hour","30","30","Yes","Yes","2"
"2019/02/08 8:23:35 am GMT-8","BMGT","Male","30","178","75","3500","4500","1. Large Corporation","No","2000","3. Drive","250","80","0. Right-handed","77","No","10","3","No","7","1","15","0","Yes","Yes","2"
"2019/02/08 8:25:02 am GMT-8","BMGT","Gender Apathetic","23","195","110","5200","6000","4. Other","Yes","400","3. Drive","100","50","0. Right-handed","85","No","12.2","0","Yes","5","2","20","8","No","No","0.5"
"2019/02/08 8:36:24 am GMT-8","BMGT","Male","26","175","67kg","0","70000","4. Other","Yes","$200","3. Drive","100","20","0. Right-handed","$74","No","","0","No","7","1","35","0","Yes","No","1"
"2019/02/08 8:37:16 am GMT-8","BMGT","Male","23","71","111","3,200","","1. Large Corporation","Yes","400","3. Drive","300","200","0. Right-handed","50","Yes","11","10","No","4","5",">25","0","Yes","No","2"
"2019/02/08 8:38:08 am GMT-8","BMGT","Female","10","","61","2400","5000","2. Small Company","No","0","5. Other","450","0","0. Right-handed","0","No","4","0","No","7","10","5","0","No","No","0"
"2019/02/08 8:45:15 am GMT-8","BMGT","Female","20","165","54","2500","4k?","1. Large Corporation","Yes","400","2. Public Transport","upass so 40?","150","0. Right-handed","50","No","","0","No","5","35","15","16","Yes","Yes","1"
"2019/02/08 9:14:58 am GMT-8","BMGT","Male","20","180","75","3800","5000","1. Large Corporation","Yes","350","3. Drive","120","350","0. Right-handed","105","No","","0","No","5","6","28","24","Yes","No","0.5"
"2019/02/08 10:10:53 am GMT-8","BMGT","Female","20","154 cm","120","0","50,000","1. Large Corporation","Yes","50","2. Public Transport","50","20","0. Right-handed","$50","No","9 inches","0","No","7","15","10","0","Yes","No","1"
"2019/02/08 10:18:10 am GMT-8","BMGT","Male","19","175","63","0","50,000","1. Large Corporation","Yes","100","2. Public Transport","50","50","0. Right-handed","100","No","10","0","No","8","10","5","0","Yes","No","0"
"2019/02/08 10:30:28 am GMT-8","BMGT","Female","23","175","70","3300","4000","1. Large Corporation","Yes","1500","3. Drive","50","20","0. Right-handed","40","No","10.4","0","No","7","5","15","0","Yes","No","0"
"2019/02/08 10:33:40 am GMT-8","BMGT","Male","22","178","77","$300","$5000","1. Large Corporation","No","$2000","2. Public Transport","$50","$50","2. Ambidextrous","$50","No","25","0","No","8","30","4","8","Yes","No","1"
"2019/02/08 10:34:23 am GMT-8","BMGT","Male","29","185","98","0","60 000","2. Small Company","No","2200","3. Drive","150","130","0. Right-handed","70","No","","0","No","6","6","5","10","Yes","Yes","1"
"2019/02/08 10:37:20 am GMT-8","BMGT","Male","23","176","83","2500","5000","3. Non-profit or Government Agency","No","2000","3. Drive","1000","200","2. Ambidextrous","120","Yes","10.5","0","No","5","12","30","8","Yes","No","2"
"2019/02/08 10:38:29 am GMT-8","BMGT","Female","30","158","56","2600","3200","2. Small Company","Yes","2000","2. Public Transport","40","600","0. Right-handed","","No","14","4","Yes","6.5","10","14","3","Yes","Yes","0"
"2019/02/08 10:40:15 am GMT-8","BMGT","non binary","19","175","75","2500","6000","1. Large Corporation","Yes","500","2. Public Transport","40","100","0. Right-handed","100","No","10.6","2","Yes","5","3","1","60","Yes","Yes","less than one"
"2019/02/08 10:40:39 am GMT-8","BMGT","Female","24","165","52","3750","5000","1. Large Corporation","Yes","200","3. Drive","680","210","0. Right-handed","85","No","10.25","0","No","8","3","25","0","Yes","No","0"
"2019/02/08 10:42:24 am GMT-8","BMGT","Male","46","1.78","90","10,700","5,000","1. Large Corporation","No","3,500","2. Public Transport","0","500","0. Right-handed","320","Yes","10.2","3","No","7","0","10","0","Yes","Yes","3"
"2019/02/08 10:42:25 am GMT-8","BMGT","Female","28","158","57","2800","4000","1. Large Corporation","Yes","500","2. Public Transport","0","100","0. Right-handed","75","No","9","1","No","7","4","25","0","Yes","Yes","1"
"2019/02/08 10:45:55 am GMT-8","BMGT","Male","20","182","80","0","3750","2. Small Company","Yes","300","3. Drive","100","100","0. Right-handed","50","No","10.35","8","No","6","12","15","0","Yes","No","2"
"2019/02/08 10:48:56 am GMT-8","BMGT","Male","24","180","81","2560","3520","2. Small Company","No","900","2. Public Transport","80","400","0. Right-handed","80","No","10.5","15","Yes","5.5","Too much.","12","10","Yes","No","None."
"2019/02/08 10:50:48 am GMT-8","BMGT","Female","23","170","69","2500","4500","4. Other","Yes","1500","3. Drive","200","100","2. Ambidextrous","90","No","9.6875","1","No","6","18","84","6","Yes","Yes","2"
"2019/02/08 10:51:40 am GMT-8","BMGT","Male","26","190","77","3000","6200","1. Large Corporation","Yes","450","3. Drive","160","40","0. Right-handed","60","Yes","11.25","8","No","6","2","7","6.5","Yes","Yes","4"
"2019/02/08 10:52:34 am GMT-8","BMGT","Female","19","170.6","70.4","3800","4750","1. Large Corporation","Yes","150-200","3. Drive","380","","0. Right-handed","0","No","9.8","3","Yes","8","3","30","16-24","Yes","Yes","1"
"2019/02/08 10:54:38 am GMT-8","BMGT","Male","19","188","69","$2000","$3500","2. Small Company","Yes","$0","3. Drive","$150","$150","0. Right-handed","$55","No","10.6","4","No","7","10","20","5","Yes","No","1"
"2019/02/08 12:16:58 pm GMT-8","BMGT","Female","19","168","62.3","0","3200","1. Large Corporation","No","1100","1. Walk","0","120","0. Right-handed","45","Yes","7.5","3","Yes","6","","","0","Yes","Yes","0"
"2019/02/08 12:39:22 pm GMT-8","BMGT","Female","26","165cm","48kg","0","3000","1. Large Corporation","No","800","2. Public Transport","100","500","0. Right-handed","48","Yes","idk","it depends","Yes","8","22","60","0","Yes","No","0"
"2019/02/11 11:36:09 am GMT-8","HRMG","Female","27","175","74","3600","4500","4. Other","No","","5. Other","10","10","0. Right-handed","85","No","","6","No","8","3","6","0","Yes","No","2"
"2019/02/14 8:22:04 pm GMT-8","BMGT","Female","24","162","99","0","5000","1. Large Corporation","No","12000","3. Drive","500","3000","0. Right-handed","140","Yes","40","0","No","7","3","5","0","Yes","No","0"
"2019/02/22 9:07:22 am GMT-8","BMGT","Male","20","180","70","2500","4500","3. Non-profit or Government Agency","Yes","0","3. Drive","100","100","0. Right-handed","80","No","10.5","1","No","7","4","12","0","Yes","No","1"
"2019/09/09 5:01:07 pm GMT-7","BABI","Female","33","167","70","4000","4000","1. Large Corporation","No","2500","2. Public Transport","70","250","0. Right-handed","120","Yes","9.68","0","No","7","1","0","40","No","Yes","0"
"2019/09/09 7:14:35 pm GMT-7","BABI","Female","26","160","50","5200","no idea","1. Large Corporation","Yes","1000","2. Public Transport","100","500","0. Right-handed","100","No","no idea","20","No","7","15","2","40","Yes","No","0"
"2019/09/09 7:14:53 pm GMT-7","BABI","Male","29","180","65","4500","7000","1. Large Corporation","Yes","1000","3. Drive","1000","500","0. Right-handed","50","No","10","0","No","7","5","10","40","Yes","Yes","3"
"2019/09/09 7:15:34 pm GMT-7","BABI","Male","22","175","59","$2600","$3000","1. Large Corporation","Yes","$150","3. Drive","$10","$300","0. Right-handed","$40","No","","3","No","8","21","2","40","Yes","No","3"
"2019/09/09 7:15:42 pm GMT-7","BABI","Female","27","166","70","1600","2300","3. Non-profit or Government Agency","Yes","200","2. Public Transport","60","70","0. Right-handed","45","No","11","0","No","7","10","0","40","Yes","No","3"
"2019/09/09 7:15:54 pm GMT-7","BABI","Male","29","171","64","1600","2000","3. Non-profit or Government Agency","No","1800","2. Public Transport","40","100","1. Left-handed","72","No","","3","Yes","7","5","","50","Yes","No","3"
"2019/09/09 7:15:58 pm GMT-7","BABI","Female","25","165","60","5000","5500","2. Small Company","No","2000","1. Walk","0","100","0. Right-handed","50","No","9 1/4","2","Yes","8","5","0","40","Yes","No","4"
"2019/09/09 7:16:01 pm GMT-7","BABI","Male","27","180","70","0","5000","2. Small Company","No","","1. Walk","0","1000","0. Right-handed","90","No","","10","No","7","1","10","40","Yes","Yes","0"
"2019/09/09 7:16:04 pm GMT-7","BABI","Male","24","175","108","52000","4500","3. Non-profit or Government Agency","Yes","400","2. Public Transport","30","50","0. Right-handed","55","No","10 3/16""","0","No","5","50","0","35","Yes","Yes","100"
"2019/09/09 7:16:10 pm GMT-7","BABI","Male","34","191","113","8000","8000","1. Large Corporation","Yes","600","3. Drive","50","200","0. Right-handed","70","No","34.5","0","No","8","1","5","37.5","Yes","Yes","1"
"2019/09/09 7:16:23 pm GMT-7","BABI","Female","26","171","60","5000","6000","1. Large Corporation","No","500","2. Public Transport","140","500","0. Right-handed","70","No","9.6","10","No","7","5","5","5","Yes","Yes","1"
"2019/09/09 7:17:03 pm GMT-7","BABI","Male","28","178","86","4000","5000","2. Small Company","No","1200","2. Public Transport","40","300","0. Right-handed","50","No","13","5","No","7","7","10","40","Yes","Yes","2"
"2019/09/09 7:17:05 pm GMT-7","BABI","Male","40","150","70","4000","8000","2. Small Company","No","1800","2. Public Transport","100","10","2. Ambidextrous","40","Yes","10","2","Yes","8","2","0","30","Yes","Yes","1"
"2019/09/09 7:17:22 pm GMT-7","BABI","Male","32","180","86","2800","5500","2. Small Company","No","775","2. Public Transport","","30","0. Right-handed","65","No","11","16","Yes","7","2","0","14","No","Yes","1"
"2019/09/09 7:17:41 pm GMT-7","BABI","Male","24","168","72","4400","6000","2. Small Company","No","1800","2. Public Transport","140","600","0. Right-handed","64","No","10.43","12","No","8","14","14","40","Yes","No","1.5"
"2019/09/09 7:17:48 pm GMT-7","BABI","Female","35","164","64","60000","4000","3. Non-profit or Government Agency","No","4000","3. Drive","65","500","0. Right-handed","72","No","9.6","none","No","7","2","0","35","Yes","Yes",".5"
"2019/09/09 7:17:55 pm GMT-7","BABI","Female","26","164","64","3300","4000","2. Small Company","No","1600","2. Public Transport","200","400","0. Right-handed","60","No","9","10","Yes","6","8","4","37.5","No","Yes","2"
"2019/09/09 7:18:59 pm GMT-7","BABI","Male","42","178","68","8000","10000","3. Non-profit or Government Agency","No","7000","3. Drive","50","200","0. Right-handed","50","No","9","0","No","7","2","2","40","Yes","Yes","2"
"2019/09/09 9:01:44 pm GMT-7","BABI","Female","27","155","46","3038","5000","1. Large Corporation","No","2500","3. Drive","200","200","0. Right-handed","75","No","8.75","1","No","8","10","8","40","Yes","No","1"
"2020/08/30 3:50:44 pm GMT-7","BABI","Prefer not to say","90","180","70","6000","7000","3. Non-profit or Government Agency","No","1500","5. Other","0","500","0. Right-handed","30","No","10","4","No","7.5","7","10","32","Yes","No","2"
"2020/09/03 9:52:30 pm GMT-7","BABI","Female","24","150","45","3000","4000","1. Large Corporation","Yes","2000","3. Drive","250","500","0. Right-handed","75","No","8.7","0","No","7","10","20","40","Yes","Yes","1"
"2020/09/05 11:38:19 am GMT-7","BABI","Female","30","165","60","2000","4000","3. Non-profit or Government Agency","No","500","1. Walk","20","100","0. Right-handed","70","No","i don't know","0","No","8","1","10","40","Yes","Yes","1"
"2020/09/08 5:46:31 pm GMT-7","BABI","Male","25","183","101","3000","5000","1. Large Corporation","Yes","200","2. Public Transport","0","30","0. Right-handed","90","No","11","5","Yes","7","10","none right now as i am not in classes","20","No","No","1"
"2020/09/11 11:58:11 am GMT-7","BABI","Male","25","181","70","3200","4000","2. Small Company","No","1850","5. Other","80","60","0. Right-handed","60","Yes","9","1","No","7","8","7","32","Yes","No","2"
"2020/09/12 4:04:48 am GMT-7","BABI","Male","23","185","90","0","5000","3. Non-profit or Government Agency","Yes","200","2. Public Transport","40","50","0. Right-handed","40","No","13","0","Yes","12","10","0","20","Yes","No","0"
"2020/09/13 9:07:54 pm GMT-7","BABI","Female","25","161","64","2900","5400","1. Large Corporation","Yes","900","2. Public Transport","150","10","0. Right-handed","50","No","9.3","0","No","8","10.5","35","0","Yes","Yes","0"
"2020/09/14 12:32:14 pm GMT-7","BABI","Male","23","195","150","0","3500","2. Small Company","No","1800","5. Other","0","40","0. Right-handed","75","No","12.2","2","No","8","1","3","0","Yes","Yes","0"
"2020/09/14 8:22:31 pm GMT-7","BABI","Male","25","178","80","0","4000","2. Small Company","No","900","2. Public Transport","145","20","1. Left-handed","80","No","10","2","No","7","10","20","40","Yes","Yes","2"
"2020/09/14 8:23:18 pm GMT-7","BABI","Male","24","170","83","2316","5,000","2. Small Company","Yes","300","3. Drive","50","200","0. Right-handed","250","No","10","0","Yes","5","8","40","40","Yes","Yes","3"
"2020/09/14 8:25:19 pm GMT-7","BABI","Female","40","165","62","4000","6000","1. Large Corporation","No","1500","2. Public Transport","90","500","0. Right-handed","75","Yes","9","4","Yes","7","15","0","35","Yes","Yes","1"
"2020/09/14 8:26:52 pm GMT-7","BMGT","Male","25","175","80","2500","4000","2. Small Company","No","300","3. Drive","250","100","0. Right-handed","50","No","12.5","8","No","7","8- to much ","8 +","40","Yes","Yes","4"
"2020/09/14 8:27:02 pm GMT-7","BABI","Male","24","187 cm","195","0","0","1. Large Corporation","Yes","$85","3. Drive","$20","$40","0. Right-handed","$75","No","10","0","No","8","4","2","5","Yes","Yes","1"
"2020/09/14 8:27:31 pm GMT-7","BABI","Female","30","160","52","3500","5000","2. Small Company","Yes","300","2. Public Transport","150","50","0. Right-handed","50","No","9","0","No","7","7","8","40","Yes","Yes","1"
"2020/09/14 8:28:16 pm GMT-7","BABI","Male","26","183","86","$3,600","$4,000","1. Large Corporation","No","$2,000","5. Other","$0","$200","0. Right-handed","$60","No","8","0","No","8","15","35","40","Yes","Yes","1"
"2020/09/14 8:28:48 pm GMT-7","BABI","Male","28","170","77","4200","4200","4. Other","No","2400","2. Public Transport","40","200","0. Right-handed","60","No","10","7","Yes","8","2","0","8","Yes","No","5"
"2020/09/14 8:30:07 pm GMT-7","BABI","Male","27","180","77","3750","4500","1. Large Corporation","No","2700","3. Drive","40","40","0. Right-handed","60","Yes","9","0","No","7.5","8","12","40","Yes","Yes","1"
"2020/09/14 8:31:26 pm GMT-7","BABI","Female","30","180","62","$4500","$5500","1. Large Corporation","No","$2000","3. Drive","$125","$200","0. Right-handed","$100","No","8","0","No","8","4","5","40","Yes","Yes","0"
"2020/09/14 8:31:47 pm GMT-7","BABI","Female","31","162cm","55kg","4000","5000","1. Large Corporation","No","1500","3. Drive","$10","300","0. Right-handed","43","No","9.625","1","No","8","8","10","40","Yes","Yes","1"
"2020/09/14 8:32:14 pm GMT-7","BABI","Male","25","178","73","4000","5800","1. Large Corporation","Yes","400","3. Drive","450","50","0. Right-handed","80","No","10","4","No","6","15","0","40","Yes","Yes","1"
"2020/09/14 8:35:40 pm GMT-7","BABI","Male","27","179","70","0","4000","1. Large Corporation","Yes","1500","5. Other","0","300","0. Right-handed","60","No","","10","No","7.5","0","4","12","Yes","No","0"
"2020/09/14 8:39:29 pm GMT-7","BABI","Female","33","164","54","3833","","1. Large Corporation","No","2000","2. Public Transport","30","100","0. Right-handed","60","No","8","0","No","8","10","10","40","No","Yes","1"
"2020/09/14 9:06:18 pm GMT-7","BMGT","Male","29","178","75","0","10000","1. Large Corporation","Yes","1800","3. Drive","100","350","0. Right-handed","60","No","9","1","No","6.5","40","40","40","Yes","Yes","0"
"2020/09/15 11:40:49 am GMT-7","BABI","Female","41","166","78","4,234","6,500","3. Non-profit or Government Agency","No","1,805","2. Public Transport","134","55","0. Right-handed","95","Yes","9.8","3","No","7","0","6","35.5","Yes","No","1"
"2020/09/16 7:02:41 pm GMT-7","BABI","Male","29","165","54","1800","3800","2. Small Company","Yes","500","2. Public Transport","100","60","0. Right-handed","33","No","10","0","No","7","8","8","32","No","Yes","1"
"2020/09/19 9:04:56 pm GMT-7","BABI","Female","35","158 cm","65 kg","2000 $","5000$","1. Large Corporation","No","2300$","2. Public Transport","90$","200$","0. Right-handed","45$","No","6.5","0-1","No","6-8hrs","2","5","24","Yes","No","0"
"2020/09/22 1:24:16 pm GMT-7","BABI","Female","33","164","54","4042","4041","2. Small Company","No","1000","3. Drive","100","300","0. Right-handed","65","No","7.5","0","No","7","10","10","40","Yes","Yes","1"
"2020/09/22 7:29:14 pm GMT-7","BABI","Male","25","180","79","3900","4500","1. Large Corporation","No","1600","3. Drive","80","600","0. Right-handed","95","No","10","8","No","6.75","5","12","45","Yes","Yes","2"
"2020/09/23 9:31:22 pm GMT-7","BMGT","Male","24","170","73","2316","5000","2. Small Company","Yes","300","3. Drive","200","300","0. Right-handed","244","No","10","0","Yes","5","1","40","40","Yes","Yes","4"
"2020/09/27 9:01:24 am GMT-7","BABI","Female","35","158cm","65kg","1500","3000","2. Small Company","No","2000","2. Public Transport","100","300","0. Right-handed","50","No","6inches","0-1","No","6-8hrs","2-3hours","4-5hours","24hours","Yes","Yes","0"
"2020/09/28 10:46:56 am GMT-7","BABI","Male","40","183","86","6000","6500","1. Large Corporation","No","3500","3. Drive","200","300","0. Right-handed","75","No","10","0","No","6","1","25","20","Yes","Yes","1"
